,"Please do not change anything other than your characters information. Place an ""X"" if you need the item, ""0"" if you want the item, but can't use, or ""b"" to black out the space if you have.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                                     San d'Oria                                                                                                                                                                                                                                                                                               Bastok                                                      ,San D'Oria,,,,,,,,,,,Bastok,,,,,,,,,,,Windhurst,,,,,,,,,,,Jeuno,,,,,,,,,,,,Beaucedine Glacier,,,,,,,,,,,,,,,Xarcabard,,,,,,,,,,,,,,,Bubuimu,,,,,,,,,,,,,Relic -1 Pieces,,,,,,,,,,,,,,,Relic Accessories,,,,,,,,,,Valkurm ,,,,,,,,,,,,,,,Relic -1 Pieces,,,,,,,,,,,,,,,Relic Accessories,,,,,,,,,Qufim,,,,,,,,,,,,,,,Relic -1 Pieces,,,,,,,,,,,,,,,Relic Accessories,,,,,,,,,,Tavnazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relic -1 Pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dream Gear,,,,"Hydra (WHM, BLM, RDM, BRD, SMN)",,,,"Hydra (WAR, MNK, RDM, THF, PLD, DRK, BST, BRD, RNG, SAM, NIN, DRG)",,,,,"Hydra (WAR, PLD, DRK)",,,,,,Adventuring Fellow Set,,,
,BRD (Head),WHM (Head),RDM (Feet),NIN (Legs),MNK (Legs),BST (Legs),RNG (Legs),SMN (Feet),PLD (Hands),WAR (Feet),DRG (Feet),DRK (Feet),THF (Body),BRD (Hands),RDM (Hands),MNK (Feet),BST (Body),SAM (Hands),BLM (Legs),SMN (Hands),PLD (Head),DRG (Legs),DRK (Hands),THF (Head),WHM (Feet),NIN (Head),BST (Head),SAM (Legs),RNG (Hands),BLM (Hands),SMN (Legs),PLD (Feet),WAR (Head),DRK (Legs),THF (Feet),BRD (Feet),WHM (Legs),RDM (Legs),NIN (Feet),MNK (Hands),SAM (Feet),RNG (Head),BLM (Feet),WAR (Hands),DRG (Hands),WAR (Legs),MNK (Body),WHM (Body),BLM (Body),RDM (Body),THF (Legs),PLD (Legs),DRK (Body),BST (Feet),BRD (Body),RNG (Feet),SAM (Body),NIN (Body),DRG (Body),SMN (Body),WAR (Body),MNK (Head),WHM (Hands),BLM (Head),RDM (Head),THF (Hands),PLD (Body),DRK (Head),BST (Hands),BRD (Legs),RNG (Body),SAM (Head),NIN (Hands),DRG (Head),SMN (Head),WAR (Hands),MNK (Legs),WHM (Head),BLM (Hands),RDM (Hands),THF (Body),PLD (Hands),BST (Body),BRD (Head),RNG (Legs),SAM (Legs),NIN (Feet),DRG (Feet),SMN (Hands),WAR (Hands),MNK (Hands),WHM (Hands),BLM (Hands),RDM (Hands),THF (Hands),PLD (Hands),DRK (Hands),BST (Hands),BRD (Hands),RNG (Hands),SAM (Hands),NIN (Hands),DRG (Hands),WAR,MNK,BLM,RDM,PLD,DRK,BRD,RNG,NIN,DRG,WAR (Feet),MNK (Feet),WHM (Feet),BLM (Feet),RDM (Feet),THF (Head),PLD (Feet),DRK (Feet),BST (Head),BRD (Feet),RNG (Hands),SAM (Feet),NIN (Legs),DRG (Legs),SMN (Legs),SMN (Head),WAR (Head),MNK (Head),WHM (Head),BLM (Head),RDM (Head),THF (Head),PLD (Head),DRK (Head),BST (Head),BRD (Head),RNG (Head),SAM (Head),NIN (Head),DRG (Head),THF,BRD,WHM,NIN,BST,SAM,SMN,PLD,WAR,WAR (Head),MNK (Hands),WHM (Legs),BLM (Legs),RDM (Legs),THF (Feet),PLD (Head),DRK (Legs),BST (Legs),BRD (Hands),RNG (Head),SAM (Hands),NIN (Head),DRG (Hands),SMN (Feet),WAR (Feet),MNK (Feet),WHM (Feet),BLM (Feet),RDM (Feet),THF (Feet),PLD (Feet),DRK (Feet),BST (Feet),BRD (Feet),RNG (Feet),SAM (Feet),NIN (Feet),DRG (Feet),SMN (Feet),DRK,THF,WHM,RDM,MNK,BST,SAM,RNG,SMN,DRG,WAR (Body),WAR (Legs),MNK (Head),MNK (Body),WHM (Body),WHM (Hands),BLM (Body),BLM (Head),RDM (Head),RDM (Body),THF (Hands),THF (Legs),PLD (Legs),PLD (Body),DRK (Head),DRK (Body),BST (Feet),BST (Hands),BRD (Legs),BRD (Body),RNG (Body),RNG (Feet),SAM (Body),SAM (Head),NIN (Body),NIN (Hands),DRG (Head),DRG (Body),SMN (Body),SMN (Head),WAR (Body),WAR (Legs),WHM (Legs),MNK (Head),MNK (Body),WHM (Body),WHM (Hands),BLM (Body),BLM (Head),RDM (Head),RDM (Body),THF (Hands),THF (Legs),PLD (Legs),PLD (Body),DRK (Head),DRK (Body),BST (Feet),BST (Hands),BRD (Legs),BRD (Body),RNG (Body),RNG (Feet),SAM (Body),SAM (Head),NIN (Body),NIN (Legs),DRG (Head),DRG (Body),SMN (Body),SMN (Head),Dream Sand,Dream Ribbon,Dream Collar,Beret,Doublet,Gloves,Brais,Gaiters,Tiara,Harness,Mittens,Tights,Spats,Salade,Haubert,Moufles,Brayettes,Solleretes,Cap,Jupon,Bracers,Hose,Boots
Haziko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,-1,,,,,,,,,-1,,,,,,X,X,,,,,,,,,X,,,,,X,,,,,,,,-1,-1,,,,,,,,,-1,,,,,,-1,,,,,,,,,-1,,,,,X,,,,,,,,,,,,-1,,-1,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,-1,-1,,,,,,,,,,,,,,,,,-1,-1,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X
Plinx,b,b,b,b,,b,,,b,,,,,b,b,,b,,X,b,,,,,,b,b,b,,b,,,,,b,,b,,b,b,,,b,,,,,,X,,,b,,b,b,b,,,,,,,,0,0,,b,,X,X,,,,,,,,b,b,b,,b,b,b,,b,b,,,,,,,,,,,,b,,,,,,,,,b,,b,,,,,,,b,b,,,,b,,,,b,,,,,,,,,,,,,,,,,,,b,,,,,,,,,b,b,X,,b,,,b,b,,,b,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,X,0,0,,,,b,b,,,b,X,X,b,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoover,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,X,b,,,,,,,,,0,b,,,,X,b,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,b,b,,,,,,,,,,,,,,,,,,0,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuckingfuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,b,,,b,b,b,,,,,,,b,,,,,,,,,,,,,,,,X,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikarii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/t b,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,/t b,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankston,b,b,b,b,b,b,b,,,,,b,b,b,b,b,b,,X,,,b,,b,,b,,b,,b,b,,,,b,b,,b,b,b,,,b,b,,,b,,b,0,b,b,,b,b,,,b,,,,b,,b,b,b,,,X,b,,,b,,,b,b,b,b,b,b,,b,b,b,b,b,,,,X,,b,0,X,,,X,X,,,b,,,b,X,0,,,b,,X,,,b,,b,b,b,,b,,b,,,b,b,b,,,X,,X,b,X,,,X,X,,,X,,,b,,b,b,,,,,,b,,X,b,b,,,b,b,,,b,,,,X,,X,0,b,,,X,X,,,b,,,,X,,0,b,b,,,,,,,b,b,,,b,b,b,0,b,b,b,,,,b,X,b,b,,,,,b,b,,,,,,,,X,X,,,X,X,0,0,X,X,,,,,X,X,X,X,,,,,X,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
