w,"Please do not change anything other than your characters. Place an ""X"" if you need the item AND can use it. Place an ""0"" if you want the item, but cannot use it yet. BLACK out the square if you have it.",,,,,,,,,,,,,,,,,,,,,,,,,,
,RUINOUS ROCS (T1),,,,DESPOTIC DECAPOD (T1),,,,SACRED SCORPIONS (T1),,,,MAMMET-9999 (T2),,,,,TONBERRY SOVEREIGN (T2),,,,,ULTIMEGA (T2),,,,
,"Luftpause
Mark","Vaulter's
Ring","Rucke's
Rung","Trotter
Boots
(75 THF ONLY)","Duality
Loop","Deflecting
Band","Sprinter's
Belt","Overlord's
Ring","Opuntia
Hoop","Carapace
Bullet","Dilation
Ring","Horus's
Helm","9999's
Broken Collar","Sharpshooter's
Ring","Mammet
Fiber","Virology
Ring","Balladeer's
Harp","Sovereign
Coat","Begrudging
Ring","Obscured
Ring","Maledictor's
Shawl","Hangeki
Ring","Terminal
Alloy","Bravery
Band","Ensorcelled
Shard","Ultima's
Left Arm","Spirited
Ring"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haziko,,,,0,,0,X,X,X,,0,,X,,X,X,,X,X,,X,0,X,,X,X,
Plinx,,,,,X,,0,X,X,,,,,,,,,,,,,,,,,,
Minibe,,,,,,,,X,X,,X,,,,,,,,,X,X,,,,,,
Nuckingfuts,,,,X,,X,X,X,,,X,X,,,,,,,,,,,,,,,
Shikarii,,,,,,,X,X,0,,X,0,,,,,,,,,X,0,,,,,X
Bankston,,,,X,,X,X,X,X,,,,,,,,X,,,,X,,,,X,X,
Yogg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doublestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taubidd,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
Darkkrystal,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Xfinalx,,,,,,,X,X,,,,,,,,,,,,X,X,,x,,,,
Zaaron,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylviel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yurasan,,,,,,,,X,X,,,,X,,X,X,X,X,,,X,,X,,,X,
Yurotaru,,,,,,,,,,0,,,,0,X,,,X,X,,,,X,,X,,X
Zizashi,,,,,,,,0,0,,x,,,,,,,,,x,0,,,,,,x
Taozen,,,x,,,,,X,,,,,,,,,,,,,,,,,,,
Mightypickle,,,,,,,X,x,X,,,,,,,,,,x,,x,,,x,,x,
Twister,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,
Jellobiafresh,,,,x,,,x,x,X,,,x,           X,o,,,,,x,,x,x,,X,,,x
kcried,,,,x,,,x,x,,,,,,0,,,x,,,,,,,,,,
Antivenom,,,,,,,X,,,,,X,,,,,,,,,,,,,,,
Ziggystardust,,,,,,,X,,,,,X,,,,,,,,0,,,,,,,x
Cernos,,,,x,,,x,,,,,,0,,,x,,,x,,x,,,,x,,
TYLON,,,,X,,,X,,,,,,,,,,,,,,,,,,1,,
Ratherbedusty,,,X,,,,,,,,,,,,,X,,,,?,X,,,,,,0
shizoki,,x,,,,,x,x,x,,,x,,,,,,,,,,,,,,,
