,"Please do not change anything other than your characters. Place an ""X"" if you need the item AND can use it. Place an ""0"" if you want the item, but cannot use it yet. BLACK out the square if you have it.",,,,,,,,,,,,,,,,,,,
,TEMPERANCE,,HOPE,,JUSTICE,,PRUDENCE,,FAITH,,FORTITUDE,,Ix'MNK,Ix'DRK,Ix'DRG,LOVE,,,,
,"Temperance
Axe","Temperance
Torque","Hope
Staff","Hope
Torque","Justice
Sword","Justice
Torque","Prudence
Rod","Prudence
Torque","Faith
Baghnakhs","Faith
Torque","Fortitude
Axe","Fortitude
Torque","Antipathy
(Merciful)","Avarice
(Altruistic)","Aspersion
(Astute)","Love
Torque","Love
Halberd","Adulation
(Novio)","Voracity
(Novia)",NOTE: A system for Novio/Novia will
,,,,,,,,,,,,,,,,,,,,likely be implemented in the future.
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haziko,,,,,,0,X,X,,X,,,X,,X,0,,X,X,
Plinx,X,X,,,,0,,X,,,,X,X,,X,,,0,,
Minibe,,,,,,,,,,,,,X,X,X,,,X,,
Nuckingfuts,,,,,,,,,,,X,,,,,,,,,
Shikarii,,,,,,X,,X,,X,,,,,,X,,X,,
Bankston,,x,,,,x,,,,,,x,x,x,x,,,,x,
Yogg,,,,,,,,,,,,,,,,,,,,
Doublestrike,,,,,,,,,,,,,,,,,,,,
Taubidd,,,,X,,,,,,,,,,,,x,,,x,
Darkkrystal,,,,,X,,,X,X,X,,,x,x,x,,,,,
Xfinalx,,X,,,,X,,X,,,,X,X,X,X,,,X,,
Zaaron,X,X,,0,0,0,,X,,,,,X,X,,,,,,
Twister,,,,,,,,,,,,,,,,,,,,
Lynk,,,,,,,,,,,,,,,,,,,,
Sylviel,,,,,,,,,,,,,,,,,,,,
Yurasan,,,,,,X,,X,,,,,X,X,X,,,X,,
Yurotaru,X,X,,,,X,,,,,,X,,X,X,,,X,X,
Ziggystardust,X,X,,,0,,,,,,,0,,,,x,,,,
Zizashi,,,,,,,,x,,,,,x,x,x,,,x,,
Shizoki,,,,x,,,,o,,,,,x,x,x,,,x,,
Taozen,,,,,,,,x,,,,,x,x,x,,,x,,
Mightypickle,,,,,,x,,x,,,,,x,x,x,,,x,,
kcried,x,x,,,x,x,,x,,,,,x,x,x,x,x,x,x,
Twister,,,,,,0,,X,,,,X,,,,,,,,
Cernos,,,,,,X,,x,,,,,x,x,x,x,,x,x,
 Jello,,X,,b,,X,,X,,X,,X,,X,,X,,X,,
Antivenom,x,,,0,,X,,,,,,,,,,x,,,,
TYLON,,,,X,,,,X,,,,X,X,X,,X,,X,X,
Ratherbedusty,b,0,,,,,,,,,,,X,X,X,,,X,,
