,"Please do not change anything other than your characters. Place an ""X"" if you need the item AND can use it. Place an ""0"" if you want the item, but cannot use it yet. BLACK out the square if you have it.",,,,,,,,,,,,,
,"Optical Hat 
(Hakutaku)","Rostrum 
Pumps","Reverand
Mail","Carbuncle 
Mitts","Yinyang 
Robe",Ace's Helm,"Soboro 
Sukehiro","Uggalepih
Pendant","Rutter 
Sabotons","Bomb Queen
Ring","Fomor 
Subligars",Joyeuse,Tatami Shield,Swift Belt
,,,,,,,,,,,"Type your job(s)
that you want",,,
,,,,,,,,,,,,,,
Haziko,,,,0,,0,0,,,0,,0,,X
Plinx,,,,,,,0,0,,,X,0,X,
Minibe,,,,,,,,X,,,,,,
Nuckingfuts,,,,X,,X,X,X,,,,,,
Shikarii,,0,,,,X,,X,,,,X,,X
Bankston,,,,,,X,,,X,,RDM,,X,X
Yogg,,,,,,,,,,,,,,
Doublestrike,,,,,,,,,,,,,,
Taubidd,,,,,,,,,,,,,,
Darkkrystal,,,,,,,,,,,,,,
Xfinalx,,,,,X,0,0,,,,,,X,X
Zaaron,,,0,,,,0,,,,,0,X,
Twister,,,,,,,0,,,,,0,,
Lynk,,,,,,,,,,,,,,
Sylviel,,,,,,,,,,,,,,
Yurasan,,,,,X,,,,,,,,,
Yurotaru,,,,,,,,X,,,BST/BRD,X,,
Zizashi,,,,,X,,,X,,X,,,,X
Shizoki,,,,,,,,,,,,,,
Antivneom,X,,,X,,X,,,,,,,,X
Taozen,X,,X,X,0,,,,,X,,0,,
Mightypicke,,,,X,0,0,,,,X,,X,,
Laydenona,,,,,0,,,0,,X,,0,X,
Stormee,X,,,,0,,,0,,X,,0,X,
Shzioki,,,,,,x,,,,x,,,,
Twister,X,,,,,0,X,,X,X,SAM/DRK/PLD,X,,X
Ziggystardust,x,,,,,x,,,,x,,0,,
Jello ,,,,,,               X,,,,,,,,
Macattack,,,,,,,,,,X,,,,
Cernos,,,x,,,,,,,x,,,,
Ratherbedusty,X,X,X,b,X,,,X,,X,,,0,b
