,"Please do not change anything other than your characters. Place an ""X"" if you need the item AND can use it. Place an ""0"" if you want the item, but cannot use it yet. BLACK out the square if you have it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GENBU DROPS,,,,,,BYAKKO DROPS,,,,,,SEIRYU DROPS,,,,,,SUZAKU DROPS,,,,,,KIRIN DROPS,,,,
,"Genbu's 
Shield","Genbu's
Kabuto","Dryadic: Feet
(Shura)","Aquarian: Hands
(Zenith)","Martial: Hands
(Koenig)","Wyrmal: Feet
(Crimson)","Byakko's
Axe","Byakko's
Haidate","Aquarian: Head
(Zenith)","Dryadic: Legs
(Shura)","Earthen: Feet
(Adaman)","Neptunal: Hands
(Hecatomb)","Seiryu's
Kote","Seiryu's
Sword","Dryadic: Head
(Shura)","Martial: Head
(Koenig)","Wyrmal: Hands
(Crimson)","Aquarian: Legs
(Zenith)","Suzaku's
Scythe","Suzaku's
Sune-Ate","Aquarian: Legs
(Zenith)","Dryadic: Hands
(Shura)","Earthen: Head
(Adaman)","Neptunal: Feet
(Hecatomb)","Kirin's
Pole","Kirin's
Osode","Dryadic: Body
(Shura)","Neptunal: Body
(Hecatomb)","Wyrmal: Legs
(Crimson)
(75 PLD PRIORITY)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haziko,,,,,,0,,,,,,,X,,,,0,,,,,,,,,,,,0
Plinx,,,,X,b,,,,b,b,,X,X,,,b,0,b,,b,b,,b,X,,X,,X,X
Minibe,,,,X,,,,,X,,,,,,,,X,,,,,,,,X,,,,X
Nuckingfuts,b,b,,X,0,,b,b,X,b,b,b,b,,b,0,b,X,b,b,X,b,b,X,,b,b,b,b
Shikarii,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,
Bankston,b,b,b,b,b,b,,b,b,b,b,b,b,,b,b,X,b,,b,b,b,b,b,,,,,X
Yogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doublestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taubidd,,0,,X,,,,0,X,,,b,,,,,,,,,X,,,X,0,               X,0,X,
Darkkrystal,,0,,X,,,,X,X,b,,,,,,,,,,,X,X,,,x,               X,               X,,               X
Xfinalx,,,,X,,X,,,,,,,,,,,X,,,,,,,0,,,,0,               X
Zaaron,0,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,0
Twister,,,0,,X,,,0,,0,0,X,,,0,X,X,             ,,,,0,0,X,,X,0,X,X
Lynk,,X,,,,,,X,,X,X,,,,X,,,,,,,,,,,x,x,x,
Yurasan,b,b,,b,,,,,b,,,,,,,,,,,,,,,,,X,,,
Yurotaru,b,b,b,,,0,b,X,,b,,b,,,,,0,,,,,,,,,,,,
Zizashi,X,,,X,,X,,X,,,X,X,,,,,X,,,,,,X,X,,,,X,X
Shizoki,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,75DRG,75DRG
Antivenom,,,,,,,,,X,,,,,,,,X,0,X,,X,,,,,,,,75 RNG
Taozen,,X,,,,,,,,,,,,,,,,,,,,,,,               X,               X,,,75 RDM X
Mightypicke,,,,X,b,,,X,,,,X,,,,X,,,,,,,,X,,X,,               X,               X
Ziggystardust,0,,,,,,,X,X,,X,X,,,,,,0,X,X,,,X,X,,               X,,               X,               X
Jellobiafresh,,,,X,X,,,               X,X,,,               X,,,,               X,,X,X,X,X,,X, X,               X,,,               X,               X
Soresu,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Cernos,X,X,X,X,,,,X,X,X,,              X,X,,X,,, X,,X,x,,,X,,               X,               X,               X,
Kcired,,,,,,,b,,,,,,,,,,X,,,,,,,,X,,,,
Tylon,,,,X,,,,,,,,X,X,,,,X,X,,X,,,,X,,X,X,X,X
Bennosuke,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Ratherbedusty,X,,,X,,,,0,X,,0,0,0,,,,,X,,,X,,b,0,,0,,0,
