,"Please do not change anything other than your characters. Place an ""X"" if you need the item. BLACK out the square if you have it.",,,,,,,,,
,OMEGA DROPS (Homam),,,,,ULTIMA DROPS (Nashira),,,,
,"Omega's Eye
(Head)","Omega's Heart
(Body)","Omega's
Foreleg (Hands)","Omega's Hind
Leg (Legs)","Omega's Tail
(Feet)","Ultima's
Cerebrum (Head)","Ultima's Heart
(Body)","Ultima's Claw
(Hands)","Ultima's Legs
(Legs)","Ultima's Tail
(Feet)"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Haziko,0,0,0,0,0,X,X,,X,X
Plinx,X,X,X,X,X,,,,,
Minibe,,,,,,X,X,X,X,X
Nuckingfuts,,,,,,,X,X,,X
Shikarii,X,X,X,X,,X,X,X,X,
Bankston,X,X,X,X,X,X,X,X,X,X
Yogg,,,,,,,,,,
Doublestrike,,,,,,,,,,
Taubidd,x,x,x,x,x,,,,,
Darkkrystal,,,,,,x,x,x,x,x
Xfinalx,0,0,0,0,0,X,X,,X,X
Zaaron,,,0,0,0,,X,,,
Twister,,,,,,,,,,
Lynk,x,x,,x,x,,x,,,x
Sylviel,,,,,,,,,,
Yurasan,,,,,,X,X,,,
Yurotaru,,X,,,,,,,,
Zizashi,,,,,,x,x,x,x,x
Shizoki,x,x,,x,,,,,,
Antivneom,x,x,x,x,x,x,x,x,x,x
Taozen,,,,,,,x,x,x,
Mightypickle,x,x,x,x,x,,x,,,
Ziggystardust,x,x,,x,X,,,,,
Twister,X,X,X,X,X,,,,,
Jello,x,x,x,x,x,x,,,,
Cernos,x,x,x,x,x,x,x,x,x,x
TYLON,,X,X,X,X,X,X,X,X,X
Ratherbedusty,,,,,,X,X,X,X,X
