Name,DKP Total,"Rollover
(Thru 01/31)",02/02,02/03,02/06,02/07,02/09,2/10,2/13,02/14,02/16,02/17,02/20,02/21,02/23,"Ultima
02/24","Ultima
Bids",Omega 2/28,Omega Bids 2/28,"Omega
DKP (03/02)","Omega
Bids",3/2,"Ultima
DKP","Ultima
Bids",3/7,03/09,3/10,03/13,03/14,03/16,3/17,03/20,03/21,03/22,03/23,3/27,3/28,Column 16
Antivenom,46,31,3,,,,,,3,3,,,,3,3,,,3,-24,,,,3,,,,3,,3,3,,,,3,3,3,,
Bankston,52,13,,3,3,,,3,3,,,3,3,,,3,,,,3,,,3,,,,,3,,,,3,,,,3,3,
Cernos,34,3,,3,,,,,,,1,,3,,,3,,3,,,,3,3,,,,,3,,,3,,,3,,,3,
Darkkrystal,35,22,,,,1,,,,,,,,3,,3,,,,,,,,,,,,,,,3,,,,,,3,
Draxzy,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haziko,60,38,,3,3,,,3,3,,,3,3,,,3,-17,,,3,,,3,,,,,3,3,,,3,,,,3,,
Jellobiafresh,61,27,3,,,,3,,3,,1,,,3,,3,,3,,3,,,3,,,3,,3,,,,3,,,,,,
Kcired,10,3,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,
Lynkovich,24,16,3,,,,3,,3,,,3,3,,3,,,,,3,,,3,-25,,3,,,,3,,,,,3,,,
Mightypickle,23,11,3,,3,,3,,3,,1,,,,3,3,,,-26,3,,,3,,,3,,,3,3,,,,1,,3,,
Minibe,13,16,3,,,,3,,,,1,,,,3,,,,,3,,,3,-28,,3,,,,3,,,,,3,,,
Nuckingfuts,33,9,,3,,,,3,,,,3,,3,,3,,,,,,3,3,,,,,,,,,,,,,,3,
Plinx,15,6,3,,,,3,,3,,1,,,,3,,,3,,3,-25,,,,,3,,,,3,,3,,,3,3,,
Ratherbedusty,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,3,,
Shikarii,6,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
Shizoki,54,26,,3,,1,,3,,,,3,,,,3,,3,,,,3,,,,,3,,,,3,,,3,,,,
Taozen,58,19,3,,3,,3,,3,,,,,,3,3,,,,3,,,3,,,3,,,3,3,,,,3,,3,,
Taubidd,35,25,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,3,
Twister,19,3,,3,,1,,3,,,,3,,,,,,,,,,,,,,,,,3,,,,,3,,,,
Tylon,63,32,,,3,,3,,,,1,,3,,3,,,,,3,,,,,,3,,3,,,,3,,,3,3,,
Xfinalx,79,43,,3,,1,,3,,3,,,,1,,3,,3,,,,3,,,3,,3,,3,,3,,,1,,,3,
Yurasan/Yurotaru,41,49,,3,3,,,3,3,,,3,3,,,3,-35,,,,,,3,,,,3,,,,,,,,,,,
Zaaron,72,52,,3,,,,,,3,,3,,1,,,,3,,,,,,,3,,,,3,,,,,1,,,,
Ziggystardust,34,25,,,3,,,3,3,,,3,,3,,,,3,,3,-27,,,,3,,,,3,,,3,,3,,,3,
